EFFEMP,GEO,SEX,valor_miles,valor_porc
Work interruption,Spain,Females,2942,10.22202147
Reduction of working time,Spain,Females,534,1.855390709
No work interruption or reduction of working time,Spain,Females,13994,48.62235503
Never had care responsibilities,Spain,Females,11046,38.37948647
No response,Spain,Females,265,0.920746326
Work interruption,Spain,Males,1099,3.775983508
Reduction of working time,Spain,Males,210,0.721525511
No work interruption or reduction of working time,Spain,Males,13713,47.11561587
Never had care responsibilities,Spain,Males,13975,48.01580484
No response,Spain,Males,107,0.367634427